order_id,customer_id,product_id,quantity,total_amount,order_date
1,2,105,2,$12.99,2024-04-09
2,3,105,3,$12.99,2024-04-08
3,6,105,3,12.99,05/04/2024
4,6,103,2,12.99,02/04/2024
5,4,104,2,$12.99,2024-04-07
6,3,102,3,12.99,April 01 2024
7,2,101,3,$12.99,06/04/2024
8,4,101,2,12.99,April 06 2024
9,4,103,3,USD 12.99,2024-04-03
10,1,105,2,USD 12.99,02/04/2024
11,2,101,2,USD 12.99,10/04/2024
12,2,104,2,USD 12.99,2024-04-03
13,4,103,3,USD 12.99,April 08 2024
14,6,104,2,12.99,April 01 2024
15,6,103,2,$12.99,08/04/2024
16,1,102,3,$12.99,April 11 2024
17,3,105,3,USD 12.99,2024-04-06
18,4,103,3,$12.99,10/04/2024
19,2,104,3,$12.99,April 04 2024
20,5,105,3,$12.99,04/04/2024
6,3,102,3,12.99,April 01 2024
